ENSG00000198826
ENSG00000170298
ENSG00000214548
ENSG00000287576
ENSG00000240403
ENSG00000214174
ENSG00000214460
ENSG00000263551
ENSG00000220785
ENSG00000224227
ENSG00000186523
ENSG00000155657
